model,model_year,milage,fuel_type,transmission,ext_col,car/sedan,condition,location,no_of_seats,cc,power_steering,push_start,power_seat,price
vitz,1999,167000,petrol,automatic,brown,car,medium,hikkaduwa,5,1000,yes,no,no,"3,500,000"
aqua,2013,91000,petrol,automatic,light blue,car,mint,kurunegala,5,1500,yes,yes,no,"6,800,000.00"
aqua urban,2015,117000,hybrid,automatic,black,car,mint,kadawatha,5,1500,yes,yes,no,"8,490,000.00"
vitz,2018,84000,petrol,automatic,white,car,high,negombo,5,1000,yes,yes,no,"7,800,000"
Toyota Premio G superior,2013,48900,petrol,automatic,pearl white,sedan,mint,ragama,5,1500,yes,yes,yes,"11,500,000.00"
Toyota Premio G superior,2013,162000,petrol,automatic,pearl white,sedan,mint,dehiwala,5,1500,yes,yes,yes,"10,490,000.00"
Toyota Axio WXB ,2017,121000,hybrid,automatic,black,sedan,mint,nugegoda,5,1500,yes,yes,yes,"11,750,000.00"
Toyota Axio G Grade,2015,180000,hybrid,automatic,dark maroon,sedan,mint,divulapitiya,5,1500,yes,yes,yes,"9,100,000.00"
Corolla 121 g grade,2005,137250,petrol,automatic,impulse red ,sedan,mint,colombo,4,1500,yes,no,no,"6,450,000.00"
Toyota Premio,2015,150000,petrol,automatic,black,sedan,mint,gampaha,5,1500,yes,yes,yes,"12,150,000.00"
yaris,2006,122200,petrol,automatic,dark blue,car,mint,pannipitiya,5,1300,yes,yes,no,"6,100,000.00"
yaris,2007,112000,petrol,manual,black,car,mint,matara,5,1300,yes,yes,no,"6,250,000.00"
Corolla 121 g grade,2002,185000,petrol,automatic,desert sand mica,sedan,mint,polonnaruwa,4,1500,yes,no,no,"6,300,000.00"
Toyota Axio WXB ,2017,142000,petrol,automatic,white,sedan,mint,colombo,5,1490,yes,yes,yes,"11,650,000.00"
Toyota Premio G superior,2011,950000,petrol,automatic,wine red,sedan,medium,dehiwala,5,1500,yes,yes,yes,"9,500,000.00"
Corolla 121 xli grade,2005,270000,diesel,manual,indigo ink,sedan,mint,rathnapura,4,2000,yes,no,no,"5,175,000.00"
aqua,2013,135000,hybrid,automatic,black,car,mint,homagama,5,1500,yes,yes,no,"7,350,000.00"
vitz safety ,2017,60000,petrol,automatic,white,car,high,kurunagala,5,1000,yes,yes,no,"7,850,000"
aqua,2014,128000,hybrid,automatic,grey,car,mint,galle,5,1500,yes,yes,no,"7,400,000.00"
aqua,2012,206000,hybrid,automatic,black,car,mint,battaramulla,5,1500,yes,yes,no,"6,555,000.00"
Corolla 121 g grade,2006,160000,petrol,automatic,indigo ink,sedan,medium,colombo,4,1500,yes,no,no,"5,750,000.00"
Corolla 121 xli grade,2003,185000,petrol,automatic,impulse red,sedan,mint,hambantota,4,1500,yes,no,no,"5,800,000.00"
vitz,2007,162000,petrol,automatic,white,car,high,maharagama,5,1000,no,yes,no,"3,250,000"
yaris,2008,190000,petrol,manual,blue,car,mint,piliyandala,5,1300,yes,yes,no,"5,500,000.00"
Toyota Axio WXB ,2018,56000,hybrid,automatic,white,sedan,mint,homagama,5,1499,yes,yes,yes,"12,750,000.00"
yaris,2006,124000,petrol,automatic,light green,car,mint,colombo,5,1300,yes,yes,no,"5,790,000.00"
aqua ,2014,141929,hybrid,automatic,red,car,mint,malabe,5,1500,yes,yes,no,"7,595,000.00"
aqua urban,2015,98000,hybrid,automatic,black,car,mint,moneragala,5,1500,yes,yes,no,"8,150,000.00"
Toyota Axio G Grade ,2016,122000,hybrid,automatic,black,sedan,mint,galle,5,1500,yes,yes,yes,"10,200,000.00"
Corolla 121 g grade,2003,153000,petrol,automatic,super white,sedan,medium,kurunegala,4,1500,yes,no,no,"6,150,000.00"
Toyota Axio G Grade,2015,188000,hybrid,automatic,dark maroon,sedan,mint,kaluthara,5,1500,yes,yes,yes,"9,250,000.00"
aqua urban,2015,98000,hybrid,automatic,black,car,mint,moneragala,5,1500,yes,yes,no,"8,150,000.00"
Toyota Premio,2007,146038,petrol,automatic,wine red,sedan,medium,kelaniya,5,1500,yes,yes,yes,"8,675,000.00"
Toyota Premio G superior,2016,100000,petrol,automatic,wine red,sedan,mint,matara,5,1500,yes,yes,yes,"13,850,000.00"
yaris,2023,38000,petrol,automatic,dark blue,car,mint,dehiwala mount laviniya,5,1000,yes,yes,no,"8,895,000.00"
aqua,2013,180000,hybrid,automatic,white,car,mint,kandy,5,1500,yes,yes,no,"7,150,000.00"
Toyota Axio WXB ,2019,74193,hybrid,automatic,black,sedan,mint,galle,5,1500,yes,yes,yes,"13,500,000.00"
vitz,2000,162000,petrol,automatic,white,car,high,maharagama,5,1000,no,no,no,"3,875,000"
Toyota Premio,2008,165000,petrol,automatic,black,sedan,medium,colombo,5,1500,yes,yes,yes,"8,800,000.00"
yaris ,2024,1433,petrol,automatic,pearl white,car,mint,kaduwela,5,1000,yes,yes,no,"9,625,000.00"
vitz,2020,37000,petrol,automatic,white,car,high,matara,5,1000,yes,yes,no,"8,700,000"
yaris,2007,146325,petrol,automatic,dark blue,car,mint,galle,5,1300,yes,yes,no,"5,650,000.00"
Toyota Premio G superior,2018,140000,petrol,automatic,pearl white,sedan,mint,tangalle,5,1500,yes,yes,yes,"15,600,000.00"
Corolla 121 g grade,2007,210000,petrol,automatic,black,sedan,mint,colombo,4,1500,yes,no,no,"6,300,000.00"
Toyota Premio,2010,145000,petrol,automatic,brown,sedan,medium,matugama,5,1500,yes,yes,yes,"9,700,000.00"
vitz,2015,79200,petrol,automatic,white,car,high,kandy,5,1000,yes,yes,no,"7,150,000"
aqua,2012,146000,petrol,automatic,pearl white,car,mint,homagama,5,1500,yes,yes,no,"7,200,000.00"
Toyota Axio Wxb Limited Editio,2019,147000,hybrid,automatic,white,sedan,mint,hambanthota,5,1500,yes,yes,yes,"12,300,000.00"
vitz ,2007,150000,petrol,automatic,white,car,high,colombo,5,1000,yes,no,no,"5,500,000"
Toyota Premio,2013,120000,petrol,automatic,pearl white,sedan,mint,kandy,5,1500,yes,yes,yes,"11,000,000.00"
Corolla 121 g grade,2001,154800w,petrol,automatic,lunar mist,sedan,medium,kurunegala,4,1500,yes,no,no,"5,300,000.00"
Toyota Premio,2012,103800,petrol,automatic,wine red,sedan,medium,hambantota,5,1500,yes,yes,yes,"10,500,000.00"
Corolla 121 lx grade,2003,228689,petrol,automatic,black,sedan,mint,colombo,4,1500,yes,no,no,"6,100,000.00"
aqua x urban,2015,108000,hybrid,automatic,white,car,mint,wennappuwa,5,1500,yes,yes,no,"8,550,000.00"
vitz,2008,148000,petrol,automatic,ash,car,medium,pannala,5,1000,yes,yes,no,"5,340,000"
aqua,2013,168000,petrol,automatic,white,car,mint,malabe,5,1500,yes,yes,no,"7,350,000.00"
aqua urban,2015,97000,hybrid,automatic,black,car,mint,matara,5,1500,yes,yes,no,"7,975,000.00"
Toyota Axio Wxb,2016,116000,hybrid,automatic,black,sedan,mint,kandy,5,1499,yes,yes,yes,"11,190,000.00"
Toyota Axio WXB ,2016,152000,hybrid,automatic,white,sedan,mint,kurunagala,5,1500,yes,yes,yes,"11,200,000.00"
Toyota Axio G Grade,2015,139000,petrol,automatic,black,sedan,mint,kottawa,5,1500,yes,yes,yes,"10,000,000.00"
yaris,2008,130000,petrol,automatic,red,car,mint,gampaha,5,1300,yes,yes,no,"6,490,000.00"
aqua,2014,49000,hybrid,automatic,black,car,mint,colombo,5,1500,yes,yes,no,"7,850,000.00"
yaris,2008,190000,petrol,automatic,black,car,mint,homagama,5,1300,yes,yes,no,"5,900,000.00"
Toyota Premio ,2013,118000,petrol,automatic,wine red,sedan,mint,matale,5,1500,yes,yes,yes,"11,500,000.00"
Toyota Axio G Grade,2014,161000,hybrid,automatic,dark brown,sedan,mint,gampaha,5,1500,yes,yes,yes,"8,975,000.00"
Toyota Axio G Grade ,2016,164000,petrol,automatic,black,sedan,mint,maharagama,5,1499,yes,yes,yes,"11,000,000.00"
aqua ,2013,121000,hybrid,automatic,grey,car,mint,minuwangoda,5,1500,yes,yes,no,"7,950,000.00"
Toyota Premio G superior,2018,78000,petrol,automatic,pearl white,sedan,mint,colombo,5,1500,yes,yes,yes,"14,950,000.00"
yaris,2008,199000,petrol,automatic,grey mica,car,mint,panadura,5,1300,yes,yes,no,"6,500,000.00"
Toyota Axio G Grade,2014,175000,hybrid,automatic,white,sedan,mint,nittambuwa,5,1500,yes,yes,yes,"9,500,000.00"
Toyota Premio,2015,143000,petrol,automatic,wine red,sedan,mint,kottawa,5,1500,yes,yes,yes,"12,800,000.00"
Toyota Premio G superior,2016,93500,petrol,automatic,pearl white,sedan,mint,colombo,5,1500,yes,yes,yes,"13,500,000.00"
Toyota Premio,2014,154000,petrol,automatic,brown,sedan,mint,colombo,5,1500,yes,yes,yes,"11,925,000.00"
aqua x urban,2015,79500,petrol,automatic,dark blue,car,mint,colombo,5,1500,yes,yes,no,"8,300,000.00"
Corolla 121 lx grade,2001,150000,petrol,automatic,lunar mist,sedan,medium,colombo,4,1800,yes,no,no,"5,650,000.00"
vitz safety,2019,57000,petrol,automatic,white,car,high,negombo,5,1000,yes,yes,no,"8,400,000"
Toyota Premio,2017,168668,petrol,automatic,pearl white,sedan,medium,badulla,5,1500,yes,yes,yes,"13,595,000.00"
aqua,2014,161253,hybrid,automatic,black,car,mint,kalutara,5,1500,yes,yes,no,"6,998,000.00"
Toyota Axio G Grade,2015,160000,hybrid,automatic,white,sedan,mint,colombo,5,1500,yes,yes,yes,"9,500,000.00"
Corolla 121 lx grade,2004,185000,petrol,automatic,black,sedan,mint,kaluthara,4,1500,yes,no,no,"5,425,000.00"
yaris,2007,153000,petrol,automatic,metallic silver,car,mint,colombo,5,1300,yes,yes,no,"6,250,000.00"
Corolla 121 xli grade,2000,210000,petrol,automatic,antique silver metalic,sedan,medium,gampaha,4,1500,yes,no,no,"5,535,000.00"
Toyota Axio G Grade ,2008,174000,petrol,automatic,white,sedan,medium,chilaw,5,1500,yes,yes,yes,"8,000,000.00"
aqua urban,2015,141000,hybrid,automatic,grey,car,mint,kandy,5,1500,yes,yes,no,"8,050,000.00"
Corolla 121 g grade,2005,137250,petrol,automatic,impulse red ,sedan,mint,colombo,4,1500,yes,no,no,"6,450,000.00"
Toyota Axio G Grade ,2015,180000,hybrid,automatic,white,sedan,mint,katunayake,5,1500,yes,yes,yes,"10,200,000.00"
Toyota Axio G Grade,2016,132000,hybrid,automatic,dark brown,sedan,mint,ragama,5,1500,yes,yes,yes,"11,200,000.00"
Corolla 121 x grade,2001,177000,petrol,automatic,super white,sedan,medium,colombo,4,1500,yes,no,no,"5,375,000.00"
Corolla 121 lx grade,2003,228689,petrol,automatic,black,sedan,mint,colombo,4,1500,yes,no,no,"6,100,000.00"
aqua ,2015,175000,hybrid,automatic,black,car,mint,colombo,5,1500,yes,yes,no,"8,300,000.00"
yaris,2011,158000,petrol,automatic,white,car,mint,piliyandala,5,1300,yes,yes,no,"6,690,000.00"
Toyota Axio WXB,2016,110000,hybrid,automatic,white,sedan,mint,pannipitiya,5,1500,yes,yes,yes,"11,900,000.00"
Toyota Premio G superior,2015,175000,petrol,automatic,wine red,sedan,mint,nugegoda,5,1500,yes,yes,yes,"12,290,000.00"
Corolla 121 g grade,2004,175000,petrol,manual,super white,sedan,medium,kandy,4,1300,yes,no,no,"5,000,000.00"
yaris,2008,240000,petrol,manual,dark blue,car,mint,panadura,5,1300,yes,yes,no,"5,750,000.00"
Toyota Axio G Grade ,2008,120000,petrol,automatic,black,sedan,medium,colombo,5,1500,yes,yes,yes,"8,300,000.00"
Corolla 121 g grade,2004,215000,petrol,automatic,lunar mist,sedan,medium,kurunegala,4,1500,yes,no,no,"6,600,000.00"
Corolla 121 lx grade,2003,228689,petrol,automatic,black,sedan,mint,colombo,4,1500,yes,no,no,"6,100,000.00"
vitz,2007,13000,petrol,automatic,white,car,high,bandaragama,5,1000,yes,no,no,"5,900,000"
aqua,2013,114000,hybrid,automatic,black,car,mint,wennappuwa,5,1500,yes,yes,no,"7,850,000.00"
yaris,2006,168107,petrol,automatic,dark blue,car,mint,horana,5,1300,yes,yes,no,"5,850,000.00"
aqua,2012,135000,hybrid,automatic,white,car,mint,matara,5,1500,yes,yes,no,"6,475,000.00"
aqua,2015,130000,hybrid,automatic,light blue,car,mint,galle,5,1500,yes,yes,no,"7,850,000.00"
yaris,2008,132000,petrol,automatic,light green,car,mint,maharagama,5,1300,yes,yes,no,"6,250,000.00"
Corolla 121 g grade,2002,185000,petrol,automatic,desert sand mica,sedan,mint,polonnaruwa,4,1500,yes,no,no,"6,300,000.00"
vitz,2009,160000,petrol,automatic,ash,car,high,colombo,5,1000,yes,yes,no,"5,225,000"
Corolla 121 lx grade,2003,228689,petrol,automatic,black,sedan,mint,colombo,4,1500,yes,no,no,"6,100,000.00"
vitz,2016,86000,petrol,automatic,white,car,high,dehiwala,5,1000,yes,yes,no,"7,300,000"
yaris,2007,47517,petrol,automatic,black,car,mint,nawala,5,1300,yes,yes,no,"6,850,000.00"
Toyota Axio WXB,2016,111000,hybrid,automatic,black,sedan,mint,nittambuwa,5,1500,yes,yes,yes,"11,600,000.00"
aqua urban,2015,49900,hybrid,automatic,red,car,mint,kurunegala,5,1500,yes,yes,no,"7,875,000.00"
yaris ,2008,188000,petrol,automatic,black,car,mint,matara,5,1000,yes,yes,no,"6,400,000.00"
Toyota AXIO G Grade,2015,132000,hybrid,automatic,white,sedan,mint,matara,5,1500,yes,yes,yes,"9,900,000.00"
yaris,2007,190000,petrol,automatic,dark blue,car,mint,kurunegala,5,1300,yes,yes,no,"6,300,000.00"
vitz ,2017,51700,petrol,automatic,ash,car,high,colombo,5,1000,yes,yes,no,"5,600,000"
Toyota Axio WXB ,2018,74000,hybrid,automatic,dark red ,sedan,mint,malabe,5,1500,yes,yes,yes,"12,650,000.00"
Toyota Axio G Grade ,2014,157000,hybrid,automatic,white,sedan,mint,dehiwala-mount-lavinia,5,1500,yes,yes,yes,"9,500,000.00"
Corolla 121 g grade,2003,189000,petrol,automatic,impulse red pearl,sedan,mint,kurunegala,4,1500,yes,no,no,"5,750,000.00"
Toyota Axio G Grade,2015,140000,hybrid,automatic,white,sedan,mint,malabe,5,1500,yes,yes,yes,"9,700,000.00"
Corolla 121 g grade,2006,120000,petrol,automatic,desert sand mica,sedan,mint,puttalama,4,1300,yes,no,no,"5,625,000.00"
Toyota Axio G Grade,2014,236000,petrol,automatic,white,sedan,mint,colombo,5,1500,yes,yes,yes,"8,950,000.00"
vitz,2009,142000,petrol,automatic,ash,car,medium,wennappuwa,5,1000,yes,yes,no,"5,550,000"
Toyota Axio G Grade,2016,122500,hybrid,automatic,black,sedan,mint,colombo,5,1500,yes,yes,yes,"10,900,000.00"
vitz,2007,170000,petrol,automatic,blue,car,high,kaduwela,5,1000,yes,yes,no,"5,475,000"
Toyota Premio G superior,2019,90000,petrol,automatic,wine red,sedan,mint,ratnapura,5,1500,yes,yes,yes,"18,000,000.00"
Corolla 121 g grade,2003,190000,petrol,automatic,lunar mist,sedan,medium,colombo,4,1500,yes,no,no,"5,995,000.00"
aqua urban,2015,85000,hybrid,automatic,white,car,mint,piliyandala,5,1500,yes,yes,no,"8,490,000.00"
yaris,2012,178000,petrol,automatic,white,car,mint,kandy,5,1300,yes,yes,no,"6,950,000.00"
Toyota Axio WXB,2017,168000,hybrid,automatic,white,sedan,mint,colombo,5,1500,yes,yes,yes,"11,750,000.00"
aqua,2012,132000,hybrid,automatic,light blue,car,mint,kiribathgoda,5,1500,yes,yes,no,"6,800,000.00"
Toyota Premio,2012,170000,petrol,automatic,wine red,sedan,mint,kegalle,5,1500,yes,yes,yes,"10,850,000.00"
aqua,2013,173000,petrol,automatic,red,car,mint,balangoda,5,1500,yes,yes,no,"6,550,000.00"
aqua,2015,175000,hybrid,automatic,grey,car,mint,colombo,5,1500,yes,yes,no,"8,300,000.00"
vitz safety ,2018,73000,petrol,automatic,white,car,high,gampaha,5,1000,yes,yes,no,"8,150,000"
Toyota Axio WXB ,2019,93500,hybrid,automatic,dark red,sedan,mint,homagama,5,1500,yes,yes,yes,"13,700,000.00"
vitz,2017,113000,petrol,automatic,ash,car,high,moneragala,5,1000,yes,yes,no,"7,575,000"
vitz safety,2016,85000,petrol, automatic,white,car,high,chilaw,5,1000,yes,yes,no,"7,300,000"
Toyota Premio G superior,2014,141000,petrol,automatic,black,sedan,mint,gampaha,5,1500,yes,yes,yes,"11,000,000.00"
aqua,2012,165000,hybrid,automatic,brown,car,mint,battaramulla,5,1500,yes,yes,no,"7,500,000.00"
vitz safety ,2016,77000,petrol,automatic,ash,car,high,batticaloa,5,1000,yes,yes,no,"7,250,000"
Corolla 121 g grade,2002,185000,petrol,automatic,desert sand mica,sedan,mint,polonnaruwa,4,1500,yes,no,no,"6,300,000.00"
Toyota Premio G superior,2015,88239,petrol,automatic,pearl white,sedan,mint,marawila,5,1500,yes,yes,yes,"14,000,000.00"
Toyota Axio WXB ,2018,110000,hybrid,automatic,maroon,sedan,mint,hendala,5,1500,yes,yes,yes,"13,450,000.00"
Toyota Axio G Grade,2008,141000,petrol,automatic,dark blue,sedan,medium,piliyandala,5,1500,yes,yes,yes,"6,975,000.00"
Corolla 121 x grade,2001,310000,diesel,automatic,super white,sedan,medium,rathnapura,4,2200,yes,no,no,"4,990,000.00"
aqua,2014,130000,petrol,automatic,black,car,mint,colombo,5,1500,yes,yes,no,"7,150,000.00"
vitz,2017,60000,petrol,automatic,white,car,high,kurunagala,5,1000,yes,yes,no,"7,850,000"
Corolla 121 g grade,2003,185000,petrol,automatic,desert sand mica,sedan,medium,rathnapura,4,1500,yes,no,no,"6,400,000.00"
vitz,2017,138000,petrol,automatic,black,car,high,wattala,5,1000,yes,yes,no,"7,100,000"
Toyota Axio WXB ,2019,125000,hybrid,automatic,white,sedan,mint,kandy,5,1500,yes,yes,yes,"13,500,000.00"
Toyota Axio WXB,2017,135000,petrol,automatic,white,sedan,mint,matara,5,1490,yes,yes,yes,"12,200,000.00"
Corolla 121 g grade,2005,137250,petrol,automatic,impulse red ,sedan,mint,colombo,4,2200,yes,no,no,"6,450,000.00"
yaris ,2017,169000,petrol,automatic,red,car,mint,homagama,5,1300,yes,yes,no,"9,575,000.00"
Toyota Premio,2013,170000,petrol,automatic,pearl white,sedan,medium,galle,5,1500,yes,yes,yes,"11,000,000.00"
Toyota Premio G superior,2019,89000,petrol,automatic,pearl white,sedan,mint,nugegoda,5,1500,yes,yes,yes,"16,750,000.00"
aqua,2016,141000,hybrid,automatic,black,car,mint,matugama,5,1500,yes,yes,no,"8,000,000.00"
Toyota Premio,2017,77500,petrol,automatic,black,sedan,mint,colombo,5,1500,yes,yes,yes,"15,800,000.00"
Toyota Premio,2016,210000,petrol,automatic,wine red,sedan,mint,galle,5,1500,yes,yes,yes,"13,500,000.00"
Toyota Axio WXB ,2017,132000,hybrid,automatic,black,sedan,mint,piliyandala,5,1500,yes,yes,yes,"11,150,000.00"
Toyota Axio WXB ,2016,147000,hybrid,automatic,white,sedan,mint,katunayake,5,1500,yes,yes,yes,"11,450,000.00"
aqua ,2015,130000,hybrid,automatic,light blue,car,mint,galle,5,1500,yes,yes,no,"7,850,000.00"
Corolla 121 lx grade,2002,183000,petrol,automatic,black,sedan,medium,matara,4,1800,yes,no,no,"5,675,000.00"
Toyota Axio G Grade,2017,33979,petrol,automatic,white,sedan,mint,colombo,5,1500,yes,yes,yes,"11,300,000.00"
yaris,2007,1477000,petrol,automatic,green,car,mint,colombo,5,1300,yes,yes,no,"6,450,000.00"
Toyota Axio G Grade,2014,183500,petrol,automatic,dark brown,sedan,mint,homagama,5,1500,yes,yes,yes,"9,650,000.00"
aqua urban,2013,153000,hybrid,automatic,pearl white,car,mint,nittambuwa,5,1500,yes,yes,no,"7,200,000.00"
yaris,2008,195000,petrol,automatic,black,car,mint,colombo,5,1300,yes,yes,no,"6,550,000.00"
Toyota Axio G Grade,2015,107500,petrol,automatic,white,sedan,mint,colombo,5,1500,yes,yes,yes,"11,000,000.00"
yaris,2007,125000,petrol,automatic,red,car,mint,gampaha,5,1300,yes,yes,no,"6,490,000.00"
yaris,2007,177000,petrol,automatic,dark blue,car,mint,maharagama,5,1300,yes,yes,no,"6,200,000.00"
Corolla 121 g grade,2002,142000,petrol,automatic,super white,sedan,medium,kurunegala,4,1500,yes,no,no,"6,400,000.00"
Corolla 121 x grade,2005,90500,petrol,automatic,super white,sedan,mint,gampaha,4,1500,yes,no,no,"6,400,000.00"
Toyota Axio WXB anniversary ,2016,97000,hybrid,automatic,white,sedan,mint,ratnapura,5,1500,yes,yes,yes,"11,600,000.00"
yaris,2009,135000,petrol,automatic,green,car,mint,maharagama,5,1300,yes,yes,no,"5,000,000.00"
vitz ,2016,86150,petrol,automatic,white,car,high,dehiwala,5,1000,yes,yes,no,"7,300,000"
yaris,2023,2500,hybrid,automatic,black,car,mint,kurunegala,5,690,yes,yes,no,"9,200,000.00"
yaris ,2007,170000,petrol,automatic,dark blue,car,mint,kotte,5,1300,yes,yes,no,"6,500,000.00"
yaris,2008,120000,petrol,automatic,black,car,mint,nittambuwa,5,1300,yes,yes,no,"6,450,000.00"
Corolla 121 g grade,2003,150000,petrol,automatic,indigo ink,sedan,mint,colombo,4,1500,yes,no,no,"5,900,000.00"
yaris,2007,170000,petrol,automatic,black,car,mint,colombo,5,1300,yes,yes,no,"6,500,000.00"
yaris,2008,162000,petrol,automatic,black,car,mint,kadawatha,5,1300,yes,yes,no,"6,125,000.00"
Toyota Axio WXB,2017,105000,hybrid,automatic,white,sedan,mint,colombo,5,1500,yes,yes,yes,"12,950,000.00"
 Corolla 121 x grade,2003,175000,petrol,automatic,super white,sedan,medium,colombo,4,1500,yes,no,no,"5,970,000.00"
vitz safety,2018,73500,petrol,automatic,white,car,high,gampaha,5,1000,yes,yes,no,"8,150,000"
Toyota Premio,2016,100000,petrol,automatic,pearl white,sedan,mint,welimada,5,1500,yes,yes,yes,"13,000,000.00"
Toyota Axio G Grade,2015,158000,hybrid,automatic,white,sedan,mint,galle,5,1500,yes,yes,yes,"10,500,000.00"
vitz ,2009,105435,petrol,automatic,black,car,medium,kurunagala,5,1000,yes,yes,no,"5,500,000"
Toyota Axio G Grade,2017,100000,petrol,automatic,white,sedan,mint,gampaha,5,1500,yes,yes,yes,"10,700,000.00"
aqua urban,2015,110800,hybrid,automatic,wine red,car,mint,negombo,5,1500,yes,yes,no,"8,175,000.00"
Toyota Axio G Grade,2007,204000,petrol,automatic,silver metallic,sedan,medium,anuradhapura,5,1499,yes,yes,yes,"7,000,000.00"
Corolla 121 g grade,2007,120000,petrol,automatic,indigo ink peal,sedan,mint,kegalle,4,1500,yes,no,no,"6,400,000.00"
Corolla 121 g grade,2006,176000,petrol,automatic,super white,sedan,mint,kegalle,4,1500,yes,no,no,"6,450,000.00"
yaris,2023,51000,petrol,automatic,pearl white,car,mint,gampaha,5,1000,yes,yes,no,"8,800,000.00"
Toyota Axio WXB,2017,55000,petrol,automatic,white,sedan,mint,kadawatha,5,1500,yes,yes,yes,"12,700,000.00"
yaris,2007,164000,petrol,automatic,red,car,mint,maharagama,5,1300,yes,yes,no,"6,450,000.00"
Toyota Axio G Grade ,2016,127000,hybrid,automatic,white,sedan,mint,moratuwa,5,1500,yes,yes,yes,"11,200,000.00"
Corolla 121 g grade,2002,185000,petrol,automatic,desert sand mica,sedan,mint,polonnaruwa,4,1500,yes,no,no,"6,300,000.00"
vitz ,2016,92200,petrol,automatic,brown,car,high,battaramulla,5,1000,yes,yes,no,"7,150,000"
vitz,2002,194000,petrol,automatic,blue,car,medium,kaluthara,5,1000,no,no,no,"3,400,000"
vitz safety ,2017,113000,petrol,automatic,ash,car,high,moneragala,5,1000,yes,yes,no,"7,575,000"
Corolla 121 x grade,2001,310000,diesel,automatic,super white,sedan,medium,rathnapura,4,2200,yes,no,no,"4,990,000.00"
aqua,2012,135000,hybrid,automatic,dark blue,car,mint,negombo,5,1500,yes,yes,no,"6,490,000.00"
aqua,2013,159000,hybrid,automatic,white,car,mint,kottawa,5,1500,yes,yes,no,"7,500,000.00"
Corolla 121 x grade,2005,256000,petrol,manual,super white,sedan,medium,rathnapura,4,1300,yes,no,no,"5,500,000.00"
aqua,2012,205000,hybrid,automatic,grey,car,mint,boralesgamuwa,5,1500,yes,yes,no,"6,450,000.00"
Toyota Axio G Grade,2017,126000,hybrid,automatic,white,sedan,mint,matara,5,1500,yes,yes,yes,"10,750,000.00"
yaris,2008,176000,petrol,automatic,white,car,medium,kandy,5,1300,yes,yes,no,"5,750,000.00"
aqua,2014,129000,hybrid,automatic,white,car,mint,kalmunai,5,1500,yes,yes,no,"7,450,000.00"
Toyota Premio,2007,198000,petrol,automatic,pearl white,sedan,medium,veyangoda,5,1500,yes,yes,yes,"8,950,000.00"
Corolla 121 g grade,2005,137250,petrol,automatic,impulse red ,sedan,mint,colombo,4,1500,yes,no,no,"6,450,000.00"
Toyota Premio ,2018,129000,petrol,automatic,pearl white,sedan,mint,marawila,5,1500,yes,yes,yes,"14,300,000.00"
Toyota Axio G Grade ,2013,151000,hybrid,automatic,gray ,sedan,medium,hambanthota,5,1500,yes,yes,yes,"8,500,000.00"
aqua,2015,120000,hybrid,automatic,grey,car,mint,matara,5,1500,yes,yes,no,"8,000,000.00"
yaris,2022,996,petrol,automatic,white,car,mint,malabe,5,1300,yes,yes,no,"8,990,000.00"
Corolla 121 g grade,2005,137250,petrol,automatic,impulse red ,sedan,mint,colombo,4,1500,yes,no,no,"6,450,000.00"
yaris,2008,229000,petrol,automatic,red,car,mint,anuradapura,5,1300,yes,yes,no,"6,350,000.00"
Toyota Premio G superior,2007,236250,petrol,automatic,wine red,sedan,medium,hambantota,5,1500,yes,yes,yes,"9,950,000.00"
yaris,2012,90000,petrol,automatic,white,car,mint,malabe,5,1300,yes,yes,no,"7,000,000.00"
Corolla 121 x grade,2005,225000,petrol,automatic,indigo ink,sedan,mint,colombo,4,1500,yes,no,no,"5,950,000.00"
Toyota Axio G Grade,2015,158000,hybrid,automatic,white,sedan,mint,matugama,5,1500,yes,yes,yes,"9,950,000.00"
vitz,2010,130000,petrol,automatic,ash,car,high,matara,5,1000,yes,yes,no,"5,400,000"
Toyota Premio G superior,2013,110000,petrol,automatic,wine red,sedan,medium,boralasgamuwa,5,1500,yes,yes,yes,"10,350,000.00"
vitz,2019,65000,petrol,automatic,white,car,high,Kurunegala,5,1000,yes,yes,no,"8,900,000"
Corolla 121 x grade,2001,250000,petrol,manual,desert sand mica,sedan,medium,gampaha,4,1500,yes,no,no,"5,300,000.00"
Toyota Premio,2019,118000,petrol,automatic,pearl white,sedan,mint,kurunegala,5,1500,yes,yes,yes,"16,500,000.00"
Toyota Premio G superior,2011,115000,petrol,automatic,wine red,sedan,mint,katunayake,5,1500,yes,yes,yes,"9,791,000.00"
aqua ,2014,49000,hybrid,automatic,black,car,mint,colombo,5,1500,yes,yes,no,"7,850,000.00"
Corolla 121 g grade,2002,185000,petrol,automatic,desert sand mica,sedan,mint,polonnaruwa,4,1500,yes,no,no,"6,300,000.00"
yaris,2007,136000,petrol,automatic,black,car,mint,nittambuwa,5,1300,yes,yes,no,"6,400,000.00"
yaris,2017,81000,petrol,automatic,white,car,mint,colombo 7,5,1300,yes,yes,no,"9,600,000.00"
Toyota Premio,2011,148000,petrol,automatic,wine red,sedan,medium,horana,5,1500,yes,yes,yes,"9,450,000.00"
Toyota Axio WXB,2016,70200,hybrid,automatic,black,sedan,mint,pannipitiya,5,1490,yes,yes,yes,"11,800,000.00"
Corolla 121 g grade,2004,240000,petrol,automatic,black,sedan,mint,polonnaruwa,4,1500,yes,no,no,"6,450,000.00"
Toyota Premio G superior,2015,200000,petrol,automatic,wine red,sedan,mint,colombo,5,1500,yes,yes,yes,"12,400,000.00"
